text,label
Get cheap shoes without prescription. Limited time!,1
Get cheap bags without prescription. Limited time!,1
Let's catch up for coffee on Friday.,0
Meeting scheduled at tomorrow in grandma's place. See you there.,0
Happy Birthday Bob! Wishing you a wonderful year.,0
Reminder: Your internet bill is due today.,0
"Hi Alice, can we meet tomorrow at 3 PM?",0
Don't forget the meeting this weekend.,0
Let's catch up for dinner on next week.,0
"Hey Alice, are we still on for dinner?",0
Happy Birthday David! Wishing you a wonderful year.,0
Happy Birthday John! Wishing you a wonderful year.,0
Happy Birthday David! Wishing you a wonderful year.,0
Happy Birthday David! Wishing you a wonderful year.,0
Meeting scheduled at 10 AM in restaurant. See you there.,0
"Hi John, can we meet tomorrow at 5 PM?",0
Let's catch up for coffee on Friday.,0
Get cheap watches without prescription. Limited time!,1
Happy Birthday David! Wishing you a wonderful year.,0
Act Now! Win a free electronics. Visit http://clickme.com,1
Don't forget the meeting this weekend.,0
Happy Birthday John! Wishing you a wonderful year.,0
Meeting scheduled at 3 PM in restaurant. See you there.,0
Don't forget the family gathering this weekend.,0
"Hi Bob, can we meet tomorrow at 3 PM?",0
URGENT! Your account has been locked. Verify at http://spamlink.com.,1
Reminder: Your water bill is due today.,0
Please send me the report file by tomorrow.,0
You are selected for a free meds. Reply YES to claim.,1
Let's catch up for coffee on today.,0
You won a free trip to grandma's place. Reply with your details.,1
Lowest prices on meds. Buy now at http://clickme.com.,1
You won a free trip to grandma's place. Reply with your details.,1
"Hi David, can we meet tomorrow at 3 PM?",0
"Hey Alice, are we still on for conference?",0
Get cheap meds without prescription. Limited time!,1
Don't forget the conference this weekend.,0
"Hi Alice, can we meet tomorrow at 10 AM?",0
Act Now! Win a free shoes. Visit http://offer.com,1
Please send me the assignment file by tomorrow.,0
Act Now! Win a free bags. Visit http://spamlink.com,1
Act Now! Win a free meds. Visit http://spamlink.com,1
Lowest prices on electronics. Buy now at http://spamlink.com.,1
Get cheap meds without prescription. Limited time!,1
Your loan is approved. Get instant cash at http://clickme.com,1
Lowest prices on meds. Buy now at http://clickme.com.,1
Act Now! Win a free meds. Visit http://spamlink.com,1
URGENT! Your account has been locked. Verify at http://offer.com.,1
Meeting scheduled at 10 AM in hall. See you there.,0
You are selected for a free watches. Reply YES to claim.,1
Meeting scheduled at 5 PM in hall. See you there.,0
Your loan is approved. Get instant cash at http://offer.com,1
Please send me the report file by 5 PM.,0
You are selected for a free shoes. Reply YES to claim.,1
"Hey John, are we still on for family gathering?",0
"Hi David, can we meet tomorrow at 5 PM?",0
Reminder: Your electricity bill is due Friday.,0
You are selected for a free bags. Reply YES to claim.,1
Your loan is approved. Get instant cash at http://offer.com,1
Lowest prices on watches. Buy now at http://clickme.com.,1
Lowest prices on shoes. Buy now at http://spamlink.com.,1
Congratulations! You won $100 cash. Click http://offer.com to claim now.,1
URGENT! Your account has been locked. Verify at http://offer.com.,1
Congratulations! You won $100 cash. Click http://offer.com to claim now.,1
Lowest prices on meds. Buy now at http://offer.com.,1
You won a free trip to grandma's place. Reply with your details.,1
Lowest prices on meds. Buy now at http://spamlink.com.,1
You won a free trip to grandma's place. Reply with your details.,1
